Chromosome	Start	Stop	Strand	Gene Symbol	gene_biotype	gene_name	gene_source	RPI12_S5	RPI44_S20	RPI30_S11	RPI47_S22	RPI8_S3	RPI10_S4	RPI45_S21	RPI5_S2	RPI1_S1	RPI25_S7	RPI27_S9	RPI29_S10	RPI32_S13	RPI38_S15	RPI36_S14	RPI43_S19	RPI26_S8	RPI42_S18	RPI31_S12	RPI39_S16	RPI40_S17	RPI16_S6
5	135562034	135568063	+	Ccdc163	protein_coding	Ccdc163	ensembl	47.8498	78.6982	57.8714	80.1468	63.7339	52.7517	73.698	68.416	54.3617	78.5775	55.3701	62.3213	91.0092	92.6626	79.449	76.5284	50.2765	100.851	60.388	81.8559	88.7287	82.0581
7	117039892	117041694	-	Ccdc166	protein_coding	Ccdc166	ensembl	0.996871	0	0	0	0	0.925469	0	1.05255	0.823663	0	0.954657	1.86034	0	0	1.0318	0	0	0	0.973999	0	0.954072	0
20	8369331	8384089	-	Ccdc167	protein_coding	Ccdc167	ensembl	12.9593	14.3088	18.6365	10.8841	9.72213	19.4349	18.197	16.8409	13.1786	13.4704	15.2745	18.6034	10.3206	20.2367	8.25444	16.4681	15.3908	8.67532	12.662	8.42635	12.4029	14.4156
2	144551390	144581045	+	Ccdc169	protein_coding	Ccdc169	ensembl	0.996871	0	0.980871	0	1.08024	0	0	0	0	0	0.954657	0.930168	0.938239	1.06509	0	0	0	1.08442	0	1.20376	3.81629	0
5	135442031	135445792	+	Ccdc17	protein_coding	Ccdc17	ensembl	277.131	297.305	272.682	304.756	456.942	213.784	172.872	210.511	376.413	360.334	273.031	350.673	244.881	243.905	238.347	253.803	282.163	233.149	233.76	233.531	430.288	345.974
1	41034308	41126044	+	Ccdc170	protein_coding	Ccdc170	ensembl_havana	141.468	73.6732	158.983	112.028	104.174	109.82	97.4861	124.416	164.57	122.347	131.992	139.938	99.3818	117.159	99.2827	117.543	136.825	85.2479	96.2689	61.8121	124.983	167.42
3	55996499	56030745	-	Ccdc173	protein_coding	Ccdc173	ensembl	24.9218	28.6175	34.3305	37.5998	28.0861	30.5405	30.935	22.1036	24.7099	50.5141	21.9571	36.2766	29.0854	35.1479	31.986	37.7798	46.1723	34.7013	31.168	27.6866	48.6577	62.098
4	123760743	123787529	+	Ccdc174	protein_coding	Ccdc174	ensembl	128.596	92.212	138.303	93.9994	83.1782	85.1432	169.232	110.518	103.782	96.5381	136.516	115.341	91.0092	108.639	83.5762	98.8088	103.631	105.188	100.322	91.4861	90.6369	116.434
6	94849989	94932807	-	Ccdc175	protein_coding	Ccdc175	ensembl	32.8967	22.2581	19.6174	21.7683	20.5245	16.6584	18.197	14.7357	20.5916	21.3282	14.3198	22.324	20.6413	18.1065	27.8587	22.2804	26.6773	23.8571	24.35	15.6489	26.714	17.7423
6	104406897	104409006	-	Ccdc177	protein_coding	Ccdc177	ensembl	1.99374	1.58986	0.980871	0	2.16047	2.77641	1.8197	2.10511	2.47099	2.24507	0.954657	3.72067	2.81472	4.26035	3.09541	2.90614	3.07815	1.08442	0	2.40753	0.954072	2.21779
14	2509363	2610930	-	Ccdc18	protein_coding	Ccdc18	ensembl	31.8999	29.4124	40.2157	26.7156	33.4873	38.8697	40.9433	47.3649	22.2389	46.024	42.0049	61.3911	34.7148	39.4082	37.145	47.467	35.9118	36.8701	44.804	36.1129	35.3007	39.9201
5	61474000	61542654	+	Ccdc180	protein_coding	Ccdc180	ensembl	256.196	248.018	331.534	304.756	301.386	198.976	178.331	250.508	401.947	364.824	294.989	319.978	266.46	254.556	219.774	245.053	303.683	214.714	267.85	238.345	352.053	329.326
13	82574966	82588641	+	Ccdc181	protein_coding	Ccdc181	ensembl_havana	52.8341	54.0553	54.9288	55.4102	68.0549	45.348	53.6813	42.1021	55.1854	49.3916	56.3247	64.1816	48.7884	41.5384	25.7951	52.3105	52.3286	39.039	37.986	44.5393	71.5554	55.4447
3	2832847	2841332	-	Ccdc183	protein_coding	Ccdc183	ensembl	2.99061	1.58986	0.980871	1.97893	2.16047	0.925469	0.909852	2.10511	2.47099	1.12254	7.63725	4.65084	0.938239	2.13017	1.0318	0	3.07815	2.16883	1.948	2.40753	2.86222	3.32668
7	139762614	139764014	+	Ccdc184	protein_coding	Ccdc184	ensembl	5.98122	4.76959	0.980871	2.9684	1.08024	3.70188	0	1.05255	5.76564	3.36761	3.81863	1.86034	2.81472	1.06509	3.09541	0.968714	0	1.08442	3.896	4.81506	6.67851	1.10889
1	277606995	277629197	-	Ccdc186	protein_coding	Ccdc186	ensembl	375.82	313.203	334.477	289.914	291.664	341.498	401.245	352.605	340.996	318.8	404.774	358.115	375.296	384.497	335.337	316.769	342.701	297.13	308.758	263.624	348.236	363.717
3	3724656	3747441	-	Ccdc187	protein_coding	Ccdc187	ensembl	147.537	124.804	115.743	104.884	77.777	120.311	97.3542	117.886	164.733	92.048	118.377	163.71	112.589	127.81	116.594	96.8714	133.387	101.935	90.5819	79.4484	145.019	129.74
1	199032105	199037268	-	Ccdc189	protein_coding	Ccdc189	ensembl	62.8028	76.3134	44.1392	89.052	46.4502	23.1367	51.8616	27.3664	37.0648	43.7789	57.2794	50.2291	53.4796	47.9289	41.2722	29.0614	51.3025	62.8961	65.258	56.5769	76.3258	39.9201
13	88265331	88272907	+	Ccdc190	protein_coding	Ccdc190	ensembl	18.9405	34.182	31.3879	38.5892	41.049	18.5094	47.3123	21.0511	42.0068	30.3085	40.0956	29.7654	41.2825	19.1716	36.1132	25.1866	37.9639	19.5195	34.09	26.4828	46.7495	21.069
11	61678045	61748769	-	Ccdc191	protein_coding	Ccdc191	ensembl_havana	45.856	31.7972	35.3114	29.684	34.5676	42.5716	48.2221	25.2613	37.8885	34.7986	39.1409	52.0894	44.0972	40.4733	39.2086	35.8424	26.6773	30.3636	36.038	31.2979	41.0251	36.5935
X	15742978	15754926	+	Ccdc22	protein_coding	Ccdc22	ensembl	227.598	161.123	114.102	166.662	170.664	164.938	164.225	102.995	144.74	117.035	181.825	161.357	153.915	131.838	165.312	133.428	138.432	156.811	180.712	129.718	156.391	153.109
5	136703674	136706999	-	Ccdc24	protein_coding	Ccdc24	ensembl	56.8216	61.2097	55.9096	70.2522	48.6106	34.2424	30.0251	38.9445	65.893	50.5141	46.7782	63.2514	44.0972	46.8638	40.2404	32.9363	47.1983	47.7143	43.83	49.3543	55.3362	77.6225
15	42522108	42553399	+	Ccdc25	protein_coding	Ccdc25	ensembl	175.449	168.525	143.207	165.241	182.56	159.181	162.864	129.464	158.143	153.787	183.294	162.779	184.833	138.461	132.071	158.869	162.116	146.396	177.268	155.286	142.157	158.572
5	171312793	171327451	-	Ccdc27	protein_coding	Ccdc27	ensembl	2.99061	2.38479	0.980871	0.989467	1.08024	1.85094	1.8197	7.36787	0	3.36761	0	0.930168	1.87648	2.13017	1.0318	1.93743	1.02605	1.08442	1.948	0	0	2.21779
1	13384156	13395371	-	Ccdc28a	protein_coding	Ccdc28a	ensembl	37.9949	61.1533	38.7452	62.7129	49.5101	56.2348	43.3867	62.5622	47.1611	75.6523	37.0355	56.1864	43.086	41.1573	50.9668	57.4349	40.0694	38.6768	30.772	48.2021	39.2107	42.8765
5	147823447	147828450	-	Ccdc28b	protein_coding	Ccdc28b	ensembl	48.8466	50.8756	53.9479	64.3153	64.8142	41.6461	58.2305	41.0496	42.8305	62.862	53.4608	56.7402	47.8502	50.0591	70.1627	45.5295	42.0681	48.7987	61.362	46.9468	73.4636	38.8113
17	76995043	77093309	-	Ccdc3	protein_coding	Ccdc3	ensembl	60.8091	49.2857	32.3687	21.7683	24.8454	42.5716	27.2956	13.6832	27.1809	32.5536	69.6899	39.0671	29.0854	23.4319	43.3358	36.8111	32.8336	30.3636	24.35	21.6677	18.1274	33.2668
5	138364167	138462865	-	Ccdc30	protein_coding	Ccdc30	ensembl	136.571	130.369	98.0871	166.23	93.9805	101.802	145.576	99.9926	154.849	149.297	122.196	165.57	138.859	149.112	112.467	122.058	156.986	117.117	135.386	107.135	191.769	151.918
3	110816337	110828880	-	Ccdc32	protein_coding	Ccdc32	ensembl	222.302	248.813	218.734	238.462	290.584	235.069	228.373	263.138	257.806	259.306	231.027	275.33	259.892	291.834	240.411	272.209	252.408	266.766	255.188	291.311	243.288	271.679
8	62811173	62893088	-	Ccdc33	protein_coding	Ccdc33	ensembl	19.9374	15.1037	17.6557	19.7893	21.6047	3.70188	9.09852	8.42043	18.1206	15.7155	7.63725	20.4637	21.5795	12.781	4.12722	5.81228	8.2084	11.9286	7.792	8.42635	20.9896	21.069
3	101156212	101191364	+	Ccdc34	protein_coding	Ccdc34	ensembl	25.9186	18.2834	24.5218	20.7788	28.0861	21.2858	17.2872	23.1562	18.1206	31.431	17.1838	17.6732	25.3325	19.1716	22.6997	19.3743	22.5731	27.1104	17.532	25.279	25.76	8.87114
8	117183343	117211171	-	Ccdc36	protein_coding	Ccdc36	ensembl	6.97809	1.58986	1.96174	0.989467	1.08024	0.925469	0	1.05255	0	1.12254	1.90931	5.58101	3.75296	2.13017	2.06361	0	2.0521	0	1.948	3.61129	0.954072	1.10889
7	34402738	34477933	+	Ccdc38	protein_coding	Ccdc38	ensembl	4.98435	2.38479	4.90436	0.989467	4.32094	3.70188	2.72956	4.21021	1.64733	3.36761	1.90931	4.65084	1.87648	1.06509	8.25444	5.81228	4.1042	2.16883	1.948	4.81506	0.954072	2.21779
2	120278605	120316601	-	Ccdc39	protein_coding	Ccdc39	ensembl	430.648	408.594	560.08	542.228	400.768	449.778	401.246	511.541	538.674	661.17	483.056	620.424	459.737	512.307	431.294	452.389	596.135	460.878	409.08	455.024	660.218	551.12
10	108340240	108372863	+	Ccdc40	protein_coding	Ccdc40	ensembl	313.017	407.8	485.531	718.353	372.681	278.566	422.171	422.074	527.968	600.557	400.956	502.291	478.502	542.129	342.559	375.861	511.999	793.792	356.484	839.023	679.3	523.398
10	55169282	55181417	+	Ccdc42	protein_coding	Ccdc42	ensembl	1.99374	3.97465	0.980871	0.989467	0	0	0	0	0	1.12254	0	0.930168	0.938239	1.06509	0	0.968714	0	0	0	0	0	0
10	90644995	90657186	-	Ccdc43	protein_coding	Ccdc43	ensembl	275.136	317.972	321.726	291.893	290.584	271.162	256.578	298.925	284.164	313.188	274.941	304.165	288.978	303.55	304.382	325.488	307.815	292.792	284.408	332.239	287.176	263.917
10	94388430	94406950	-	Ccdc47	protein_coding	Ccdc47	ensembl	3105.25	2891.96	2981.85	3234.57	3143.49	3160.48	3126.25	2971.36	3151.33	3574.16	3047.26	3311.4	2947.01	2982.24	3068.59	3400.19	3148.95	3309.64	3128.49	3561.94	3034.9	2891.99
11	76747865	76804511	-	Ccdc50	protein_coding	Ccdc50	ensembl	138.565	94.5968	158.901	50.4628	92.9003	175.839	96.4443	161.041	144.965	132.459	144.153	95.8073	88.1945	141.657	115.562	104.621	132.36	62.8961	98.3739	62.5957	110.672	156.354
8	117812099	117830869	+	Ccdc51	protein_coding	Ccdc51	ensembl	71.7747	77.9032	70.6227	115.768	91.8201	61.081	93.7148	76.8364	68.364	77.455	58.2341	73.4833	56.2944	73.491	85.6398	90.0904	43.0941	78.0779	81.816	163.712	85.8665	70.9692
11	52828116	52829106	+	Ccdc54	protein_coding	Ccdc54	ensembl	0	1.58986	2.94261	1.97893	0	0	0	3.15766	4.11831	1.12254	0.954657	0	1.87648	5.32544	4.12722	0.968714	6.1563	0	0	0	0	2.21779
10	110008603	110101873	-	Ccdc57	protein_coding	Ccdc57	ensembl	85.7309	51.6705	49.0436	46.505	64.8142	47.1989	52.7714	52.6277	66.7167	56.1268	79.2365	65.1118	45.9737	63.9052	57.7811	56.1854	66.6933	37.9545	42.856	26.4828	52.474	72.078
11	67598419	67618705	-	Ccdc58	protein_coding	Ccdc58	ensembl	12.9593	10.1366	14.7103	16.6295	20.5245	14.8075	17.2853	10.5255	16.4733	12.5096	16.2719	13.0224	11.6247	13.6171	12.3817	10.3606	14.3647	14.0974	7.792	12.0376	17.1733	16.6334
7	47928060	47934930	+	Ccdc59	protein_coding	Ccdc59	ensembl	179.58	209.476	255.919	315.275	243.034	212.502	179.569	243.679	215.579	385.422	132.683	193.288	159.152	196.364	185.402	234.237	224.343	344.665	185.06	382.812	203.843	192.67
20	19732894	19825151	-	Ccdc6	protein_coding	Ccdc6	ensembl	144.546	93.8018	107.896	53.4312	85.3387	111.982	125.56	117.886	113.665	85.3128	153.7	98.5978	151.056	104.379	117.626	122.058	110.813	45.5454	119.802	52.9656	131.662	150.809
12	46042413	46206748	+	Ccdc60	protein_coding	Ccdc60	ensembl	46.8529	43.7212	71.6036	57.3891	78.8572	39.7952	32.7547	54.7328	54.3617	74.0874	57.2794	67.9023	51.6032	57.5147	45.3994	48.4357	58.4849	55.3052	49.674	33.7054	91.5909	45.4646
1	79795375	79816451	-	Ccdc61	protein_coding	Ccdc61	ensembl	42.6952	34.5216	18.3833	20.1236	30.0152	37.0188	39.3742	27.9166	35.8318	40.4992	29.5944	36.915	24.1691	27.6923	25.7951	38.7486	34.8914	31.448	28.246	10.8339	37.2088	41.809
12	38057556	38093051	-	Ccdc62	protein_coding	Ccdc62	ensembl	235.261	165.346	152.035	233.514	143.671	167.51	186.52	166.303	203.445	206.547	188.067	223.24	225.177	161.893	193.979	171.462	179.559	260.26	301.94	284.088	193.677	172.987
12	39913628	39950642	+	Ccdc63	protein_coding	Ccdc63	ensembl	0.996871	0.794931	0	0.989467	0	0.925469	0	0	0	0	0	0	1.87648	0	0	1.93743	0	1.08442	0	0	0	1.10889
7	140383397	140397180	+	Ccdc65	protein_coding	Ccdc65	ensembl	135.574	108.111	88.2784	95.9783	127.468	99.9507	83.7064	66.3109	125.197	81.9452	99.2843	154.408	110.712	121.42	83.5762	102.684	106.709	97.5974	92.5299	39.7242	180.32	118.652
16	3110239	3139178	-	Ccdc66	protein_coding	Ccdc66	ensembl	245.23	203.502	174.595	185.03	152.313	202.678	215.635	159.988	199.326	217.772	217.662	202.777	207.351	192.781	184.693	158.869	191.871	161.578	203.566	182.972	179.366	219.561
18	68408890	68472321	+	Ccdc68	protein_coding	Ccdc68	ensembl	224.296	197.938	223.639	153.367	195.523	201.752	177.421	239.982	209.21	182.973	191.886	226.961	166.068	175.739	171.28	161.775	254.46	169.169	187.008	154.082	147.881	215.125
10	40392460	40419055	-	Ccdc69	protein_coding	Ccdc69	ensembl	38.8779	28.6175	26.4835	21.7683	25.9257	33.3169	36.3941	33.6817	28.0045	24.6958	41.0502	32.5559	31.9001	29.8224	28.8905	29.0614	27.7034	37.9545	29.22	49.3543	41.9792	32.1579
8	117246376	117250281	+	Ccdc71	protein_coding	Ccdc71	ensembl	134.578	102.546	65.7184	116.757	106.943	72.1866	110.092	89.467	88.9556	90.9254	113.604	103.249	94.7622	125.68	106.276	128.839	104.657	80.2467	80.842	92.6898	109.718	111.998
6	51662224	51662875	+	Ccdc71l	protein_coding	Ccdc71l	ensembl	1.99374	7.15438	1.96174	0	1.08024	5.55282	0.909852	1.05255	1.64733	0	0.954657	8.37151	0.938239	2.13017	5.15902	0	4.1042	0	2.922	2.40753	0.954072	2.21779
3	94848823	94986264	+	Ccdc73	protein_coding	Ccdc73	ensembl	16.9468	11.129	13.7322	11.8736	11.8826	6.47828	10.0084	10.5255	14.8259	16.838	9.54657	10.2318	26.2707	15.9763	17.5407	7.74971	15.3908	19.5195	9.73999	14.4452	16.2192	7.76225
11	87549059	87553337	+	Ccdc74a	protein_coding	Ccdc74a	ensembl	4.98435	4.76959	6.8661	7.91574	4.32094	3.70188	5.45911	4.21021	7.41297	13.4704	3.81863	3.72067	5.62943	4.26035	1.0318	3.87486	3.07815	4.33766	2.922	9.63011	9.54072	3.32668
4	152860675	152883211	-	Ccdc77	protein_coding	Ccdc77	ensembl	27.9124	34.977	32.3687	24.7367	117.746	34.2424	73.698	42.1021	35.4175	43.7789	92.6017	33.4861	31.9001	27.6923	28.8905	29.0614	42.0681	60.7273	30.194	27.6866	32.4385	32.1579
10	15156207	15159895	+	Ccdc78	protein_coding	Ccdc78	ensembl	32.5075	65.5723	53.722	104.191	48.5853	58.5212	32.3742	42.724	52.1505	69.9957	44.5163	55.2071	58.1357	36.8499	43.0351	45.7191	63.5271	91.7881	51.6553	120.015	87.1005	42.2812
1	78933372	78936701	+	Ccdc8	protein_coding	Ccdc8	ensembl	59.8122	56.4401	73.5653	58.3786	66.9746	65.7083	63.6896	50.5226	79.8953	79.7001	59.1887	53.0196	60.9855	70.2958	42.304	70.7161	59.5109	48.7987	70.128	61.392	41.0251	41.029
11	60645086	60679556	-	Ccdc80	protein_coding	Ccdc80	ensembl_havana	871.265	873.63	847.473	944.94	688.11	838.475	1132.76	856.779	721.528	768.938	1033.89	704.138	963.573	881.892	1081.33	710.068	950.124	691.857	972.051	870.322	615.377	864.937
1	154064256	154111726	-	Ccdc81	protein_coding	Ccdc81	ensembl	118.628	68.3641	77.4888	133.578	91.8201	49.9753	83.7064	42.1021	108.723	77.455	105.967	115.341	114.465	80.9466	81.5126	74.591	94.3966	114.948	129.542	107.135	206.08	98.6915
8	11888591	11927920	+	Ccdc82	protein_coding	Ccdc82	ensembl	182.428	263.917	322.707	240.44	208.486	236.92	225.643	344.185	261.101	266.041	292.125	229.751	200.783	183.195	239.378	312.896	237.018	278.695	227.916	241.956	251.875	256.155
1	154478782	154507040	-	Ccdc83	protein_coding	Ccdc83	ensembl_havana	32.8967	32.5922	34.3305	33.6419	20.5245	24.9877	32.7547	15.7883	32.1228	31.431	26.7304	35.3464	20.6413	34.0828	23.7315	26.1553	26.6773	28.1948	23.376	22.8715	47.7036	18.8512
8	48729835	48736507	-	Ccdc84	protein_coding	Ccdc84	ensembl	126.603	129.574	97.1062	103.894	129.628	119.386	126.469	106.308	104.605	92.048	122.196	119.992	121.971	99.0531	147.548	97.8401	114.918	97.5974	101.296	80.6522	138.34	90.9292
14	112719482	112946876	-	Ccdc85a	protein_coding	Ccdc85a	ensembl	82.7403	42.9263	54.9288	32.6524	37.8083	57.3791	72.7882	37.8919	59.3037	25.8183	70.6446	46.5084	75.0591	78.8165	83.5762	64.9038	53.3546	53.1364	75.972	49.3543	48.6577	60.9891
1	226996237	227002140	-	Ccdc86	protein_coding	Ccdc86	ensembl	21.9312	25.4378	25.5026	19.7893	20.5245	26.8386	28.2054	23.1562	23.0626	26.9409	27.685	18.6034	38.4678	25.5621	36.1132	14.5307	21.5471	26.026	25.324	27.6866	25.76	28.8312
1	220096422	220099612	+	Ccdc87	protein_coding	Ccdc87	ensembl	10.9656	22.2581	13.7322	29.684	16.2035	8.32922	17.2872	7.36787	28.0045	22.4507	16.2292	19.5335	12.1971	15.9763	9.28624	27.124	14.3647	23.8571	14.61	13.2414	34.3466	17.7423
14	113867209	113932264	+	Ccdc88a	protein_coding	Ccdc88a	ensembl	246.227	219.401	309.955	192.946	133.949	342.424	317.538	401.023	274.28	205.424	297.853	244.634	303.989	275.858	261.047	260.584	286.268	214.714	257.136	187.787	213.712	344.866
1	222102437	222118460	-	Ccdc88b	protein_coding	Ccdc88b	ensembl_havana	204.358	308.433	213.83	238.529	258.176	177.69	248.39	187.355	212.505	187.464	258.712	192.545	225.177	201.301	198.107	192.774	218.549	206.039	265.902	191.398	250.921	293.857
6	124905808	125027554	-	Ccdc88c	protein_coding	Ccdc88c	ensembl	377.814	367.258	328.592	301.787	384.564	346.125	328.457	374.709	403.595	299.717	361.815	375.788	332.137	366.39	314.7	393.298	380.665	281.948	320.446	257.605	379.721	390.33
1	156326091	156327353	-	Ccdc89	protein_coding	Ccdc89	ensembl	0.0126539	9.53822	0.0186762	10.8839	8.64189	0.0117476	15.3445	6.23136	6.97751	6.64568	14.2892	14.8812	0.00793977	0.0180265	0.0109145	7.74971	7.90662	8.67445	7.9395	6.01882	11.4477	0.0234598
1	78213223	78224320	-	Ccdc9	protein_coding	Ccdc9	ensembl	346.911	308.433	227.562	193.936	288.423	234.144	271.136	195.775	218.271	224.507	271.122	292.073	218.61	279.053	246.601	222.804	207.262	174.591	228.89	174.546	272.865	245.065
1	157403595	157417148	+	Ccdc90b	protein_coding	Ccdc90b	ensembl	78.7528	103.341	95.1445	120.715	75.6165	78.6649	73.698	89.467	65.893	101.028	68.7353	71.6229	84.4415	76.6863	70.1627	102.684	89.2664	120.37	99.3479	122.784	88.7287	75.4047
4	181874861	182043594	+	Ccdc91	protein_coding	Ccdc91	ensembl	215.324	179.654	165.767	217.683	196.603	180.467	191.979	164.198	177.911	127.969	207.16	189.754	211.104	178.935	202.234	185.993	195.976	223.39	159.736	225.104	202.263	180.75
12	37211316	37237849	+	Ccdc92	protein_coding	Ccdc92	ensembl	76.759	84.2627	27.4644	65.3048	49.6909	47.1989	91.8951	35.7868	56.8327	44.9015	95.4657	60.4609	84.4415	43.6686	84.608	60.0603	62.5891	46.6299	74.998	62.5957	81.0962	64.3158
10	61403130	61421991	+	Ccdc92b	protein_coding	Ccdc92b	ensembl_havana	9.96871	4.76959	5.88523	2.9684	3.24071	5.55282	2.72956	1.05255	6.5893	5.61268	5.72794	7.44134	4.6912	6.39052	4.12722	7.74971	4.1042	7.59091	1.948	4.81506	9.54072	8.87114
13	37400476	37468841	+	Ccdc93	protein_coding	Ccdc93	ensembl	245.23	214.631	237.371	271.114	135.03	231.367	323.907	218.931	219.094	215.527	252.029	226.961	298.36	236.449	254.856	240.241	274.981	304.721	281.486	387.612	214.666	247.283
14	79443543	79445472	-	Ccdc96	protein_coding	Ccdc96	ensembl	19.9374	15.8986	24.5218	9.89467	34.5676	13.882	12.7379	11.5781	18.9442	17.9606	16.2292	31.6257	29.0854	6.39052	26.8269	15.4994	15.3908	22.7727	13.636	10.8339	31.4844	23.2868
1	82503571	82511328	-	Ccdc97	protein_coding	Ccdc97	ensembl	256.196	232.915	174.595	186.02	245.214	190.647	207.446	154.725	219.918	166.135	202.387	219.52	165.13	173.609	207.393	167.587	184.689	181.097	223.046	198.621	211.804	195.165
3	110551233	110556814	-	Ccdc9b	protein_coding	Ccdc9b	ensembl	365.85	273.456	250.122	198.883	196.603	242.473	343.924	269.454	243.805	196.444	309.309	351.603	273.028	254.556	316.764	250.897	256.512	284.117	299.018	185.38	261.416	276.115
7	38945836	38947569	+	Ccer1	protein_coding	Ccer1	ensembl	1.99374	3.97465	3.92348	1.97893	2.16047	1.85094	0.909852	0	0.823663	0	0	0	0.938239	1.06509	1.0318	1.93743	1.02605	1.08442	2.922	2.40753	0	0
1	86938138	86940781	+	Ccer2	protein_coding	Ccer2	ensembl	0	0.794931	3.92348	0.989467	1.08024	0.925469	0.909852	0	0	0	0.954657	0.930168	1.87648	0	1.0318	0.968714	4.1042	1.08442	0	0	0.954072	0
20	3730955	3740010	-	Cchcr1	protein_coding	Cchcr1	ensembl_havana	189.405	209.862	136.341	180.083	256.016	174.914	198.92	138.937	204.269	181.851	179.475	216.729	145.427	188.52	187.789	169.525	148.777	195.195	153.563	128.803	214.666	170.77
5	59452348	59454234	+	Ccin	protein_coding	Ccin	ensembl	0.996871	2.38479	3.92348	0.989467	2.16047	0.925469	0.909852	0	0.823663	0	0	0	0	0	1.0318	0	0	0	0	0	0	1.10889
14	59611434	59619784	+	Cckar	protein_coding	Cckar	ensembl	1.99374	0.794931	0	1.97893	0	0.925469	0	0	2.47099	0	0	0.930168	1.87648	1.06509	2.06361	1.93743	0	0	0	0	0	0
10	69434941	69439576	+	Ccl11	protein_coding	Ccl11	ensembl	197.38	134.343	163.805	191.957	126.388	179.541	264.767	126.306	92.2502	211.037	231.027	97.6677	74.1209	204.497	213.584	211.18	93.3706	276.526	108.114	202.232	162.192	150.809
10	69476775	69478463	+	Ccl12	protein_coding	Ccl12	ensembl	3.98748	5.56452	5.88523	11.8736	6.48142	4.62735	3.63941	7.36787	14.8259	7.85775	3.81863	10.2318	0.938239	6.39052	8.25444	14.5307	4.1042	4.33766	5.844	7.22258	10.4948	4.43557
19	10619220	10620672	-	Ccl17	protein_coding	Ccl17	ensembl	0	0.794931	0.980871	0	3.24071	0	0.909852	0	0.823663	1.12254	0	0	0	0	0	0	1.02605	0	0	0	0	0
5	58181026	58183018	-	Ccl19	protein_coding	Ccl19	ensembl	2.99061	31.0023	27.4644	11.8736	22.685	12.0311	20.9266	7.36787	19.7679	32.5536	22.9118	10.2318	12.1971	7.45561	10.318	15.4994	27.7034	39.039	14.61	57.7807	47.7036	11.0889
10	69412017	69413871	+	Ccl2	protein_coding	Ccl2	ensembl	12.9593	14.3088	26.4835	14.842	57.2525	20.3603	17.2872	29.4715	22.2389	16.838	16.2292	29.7654	8.44415	21.3017	18.5725	15.4994	11.2866	11.9286	4.87	28.8903	24.8059	17.7423
9	88918433	88921002	+	Ccl20	protein_coding	Ccl20	ensembl	2.99061	11.129	4.90436	9.89467	12.9628	7.40375	3.63941	7.36787	14.0023	11.2254	1.90931	7.44134	0.938239	5.32544	8.25444	2.90614	6.1563	1.08442	1.948	14.4452	8.58665	4.43557
5	58197680	58198783	-	Ccl21	protein_coding	Ccl21	ensembl	209.343	227.35	111.819	241.43	186.881	168.435	149.216	296.82	132.61	224.507	127.924	180.453	183.895	203.432	167.152	224.742	173.402	155.071	102.27	137.229	220.391	113.107
19	10674189	10681146	-	Ccl22	protein_coding	Ccl22	ensembl	11.9624	17.4885	17.6557	6.92627	36.728	6.47828	8.18867	15.7883	15.6496	7.85775	6.6826	9.30168	12.1971	8.5207	8.25444	4.84357	11.2866	20.6039	23.376	10.8339	15.2652	9.98004
12	24148567	24152626	+	Ccl24	protein_coding	Ccl24	ensembl	5.98122	7.15438	7.84697	8.9052	4.32094	3.70188	10.9182	5.26277	7.41297	5.61268	5.72794	7.44134	11.2589	10.6509	8.25444	10.6559	11.2866	5.42208	10.714	6.01882	4.77036	2.21779
5	58159066	58163585	-	Ccl27	protein_coding	Ccl27	ensembl	0	1.58986	0.980871	0	1.08024	0.925469	4.54926	1.05255	0.823663	1.12254	0.954657	1.86034	0	1.06509	2.06361	0.968714	0	1.08442	2.922	1.20376	0.954072	0
2	52379341	52404247	+	Ccl28	protein_coding	Ccl28	ensembl	1.99374	7.94931	2.94261	0.989467	4.32094	0	0.909852	2.10511	0.823663	8.98029	9.54657	1.86034	2.81472	4.26035	2.06361	1.93743	1.02605	1.08442	2.922	0	5.72443	4.43557
10	70869513	70871067	-	Ccl3	protein_coding	Ccl3	ensembl_havana	115.583	171.369	99.7689	180.057	189.6	85.9495	111.093	128.536	185.101	113.112	87.56	97.3864	117.668	122.913	127.008	83.9945	74.3675	171.551	128.467	223.951	193.823	93.0151
10	70884531	70886356	+	Ccl4	protein_coding	Ccl4	ensembl_havana	11.9624	15.1037	28.4453	44.526	29.1664	27.7641	32.7547	30.5241	32.1228	12.3479	16.2292	27.905	20.6413	26.6272	26.8269	26.1553	19.495	24.9416	22.402	45.743	25.76	34.3757
10	70739800	70744316	-	Ccl5	protein_coding	Ccl5	ensembl_havana	42.8654	77.1083	110.838	64.3154	142.591	92.5469	53.6813	98.94	101.311	79.7001	92.6017	48.3687	78.8121	80.9466	104.212	43.5921	114.918	61.8117	69.154	97.5049	62.9688	82.0581
10	70797124	70802783	-	Ccl6	protein_coding	Ccl6	ensembl_havana	2503.14	1884.78	1758.7	2689.37	1573.9	1638.08	2162.72	2659.8	2419.1	1854.43	1726.97	2299.38	2368.12	2313.37	2104.88	2293.91	1437.5	2378.12	2590.84	1715.36	2612.25	2132.4
10	69423086	69424980	+	Ccl7	protein_coding	Ccl7	ensembl	0.996871	6.35945	0.980871	6.92627	18.364	10.1802	1.8197	3.15766	3.29465	6.73522	2.86397	2.7905	4.6912	5.32544	7.22263	3.87486	2.0521	6.50649	0	3.61129	7.63258	8.87114
